ticker,ex_date,dividend
BTS-B.ST,2022-05-16,2.4
BTS-B.ST,2022-11-14,2.4
BTS-B.ST,2023-05-15,2.7
BTS-B.ST,2023-11-14,2.7
BTS-B.ST,2024-05-06,2.85
BTS-B.ST,2024-11-12,2.85
BTS-B.ST,2025-05-19,3.05
BTS-B.ST,2025-11-17,3.05
BTS-B.ST,2026-05-22,2.2
CAST.ST,2000-05-25,0.819981
CAST.ST,2001-03-23,1.002199
CAST.ST,2002-03-22,1.184417
CAST.ST,2003-03-21,1.366635
CAST.ST,2004-03-26,1.548853
CAST.ST,2005-03-24,1.731071
CAST.ST,2006-03-24,1.913289
CAST.ST,2007-03-23,2.077285
CAST.ST,2008-03-28,2.186616
CAST.ST,2009-03-27,2.295947
CAST.ST,2010-03-26,2.551052
CAST.ST,2011-03-25,2.623939
CAST.ST,2012-03-23,2.696827
CAST.ST,2013-03-22,2.879045
CAST.ST,2014-03-21,3.097706
CAST.ST,2015-03-20,3.352812
CAST.ST,2016-03-18,3.571473
CAST.ST,2017-03-24,2.100112
CAST.ST,2017-09-22,2.100112
CAST.ST,2018-03-23,2.226119
CAST.ST,2018-09-21,2.226119
CAST.ST,2019-03-22,2.562136
CAST.ST,2019-09-20,2.562136
CAST.ST,2020-03-20,2.730145
CAST.ST,2020-09-18,2.730145
CAST.ST,2021-03-26,2.898154
CAST.ST,2021-09-24,2.898154
CAST.ST,2022-04-01,1.596085
CAST.ST,2022-06-29,1.596085
CAST.ST,2022-09-29,1.596085
CAST.ST,2022-12-29,1.596085
CAST.ST,2025-05-08,0.62
CAST.ST,2025-06-27,0.62
CAST.ST,2025-09-29,0.62
CAST.ST,2025-12-29,0.62
CATE.ST,2007-04-24,5.0
CATE.ST,2008-04-22,5.25
CATE.ST,2009-04-30,5.25
CATE.ST,2010-04-29,5.75
CATE.ST,2010-10-13,26.0
CATE.ST,2011-04-15,59.0
CATE.ST,2012-04-27,2.0
CATE.ST,2013-04-25,1.0
CATE.ST,2014-05-07,2.0
CATE.ST,2015-04-30,3.0
CATE.ST,2016-04-28,3.0
CATE.ST,2017-04-28,3.5
