ticker,report_period,report_date,eps_ttm,currency
HOLM-A.ST,2024-Q3,,17.8868,SEK
HOLM-A.ST,2024-Q4,,18.047,SEK
HOLM-A.ST,2025-Q1,,18.1529,SEK
HOLM-A.ST,2025-Q2,,17.3473,SEK
HOLM-A.ST,2025-Q3,,18.2989,SEK
HOLM-A.ST,2025-Q4,,18.5465,SEK
HTRO.ST,2018-Q3,,0.5199,SEK
HTRO.ST,2018-Q4,,0.3142,SEK
HTRO.ST,2019-Q1,,0.2823,SEK
HTRO.ST,2019-Q2,,0.286,SEK
HTRO.ST,2019-Q3,,0.3171,SEK
INDU-A.ST,2020-Q1,,-9.1381,SEK
INDU-A.ST,2020-Q2,,5.8546,SEK
INDU-A.ST,2020-Q3,,26.231,SEK
INDU-A.ST,2020-Q4,,19.393,SEK
INDU-A.ST,2021-Q1,,103.9108,SEK
INDU-A.ST,2021-Q2,,73.576,SEK
INDU-A.ST,2021-Q3,,45.3528,SEK
INDU-A.ST,2021-Q4,,61.3831,SEK
INDU-A.ST,2022-Q1,,-26.4272,SEK
INDU-A.ST,2022-Q2,,-41.0914,SEK
INDU-A.ST,2022-Q3,,-39.7639,SEK
INDU-A.ST,2022-Q4,,-32.3386,SEK
INDU-A.ST,2023-Q1,,40.8938,SEK
INDU-A.ST,2023-Q2,,60.5419,SEK
INDU-A.ST,2023-Q3,,69.933,SEK
INDU-A.ST,2023-Q4,,62.1534,SEK
INDU-A.ST,2024-Q1,,73.0495,SEK
INDU-A.ST,2024-Q2,,52.3317,SEK
INDU-A.ST,2024-Q3,,72.73,SEK
INDU-A.ST,2024-Q4,,29.2985,SEK
INDU-A.ST,2025-Q1,,9.0067,SEK
INDU-A.ST,2025-Q2,,30.3613,SEK
INDU-A.ST,2025-Q3,,31.9426,SEK
INDU-A.ST,2025-Q4,,81.9659,SEK
INDU-A.ST,2026-Q1,,92.7763,SEK
INDU-A.ST,2026-Q2,,145.5363,SEK
INVE-A.ST,2018-Q3,,13.6575,SEK
INVE-A.ST,2018-Q4,,-0.7478,SEK
INVE-A.ST,2019-Q1,,7.2222,SEK
INVE-A.ST,2019-Q2,,8.9347,SEK
INVE-A.ST,2019-Q3,,7.3047,SEK
INVE-A.ST,2019-Q4,,33.05,SEK
INVE-A.ST,2020-Q1,,8.4794,SEK
INVE-A.ST,2020-Q2,,23.5895,SEK
INVE-A.ST,2020-Q3,,25.7319,SEK
INVE-A.ST,2020-Q4,,17.2203,SEK
INVE-A.ST,2021-Q1,,61.1658,SEK
INVE-A.ST,2021-Q2,,57.3058,SEK
INVE-A.ST,2021-Q3,,57.2366,SEK
INVE-A.ST,2021-Q4,,81.1983,SEK
INVE-A.ST,2022-Q1,,29.8606,SEK
INVE-A.ST,2022-Q2,,-8.6694,SEK
INVE-A.ST,2022-Q3,,-14.7393,SEK
INVE-A.ST,2022-Q4,,-24.3893,SEK
INVE-A.ST,2023-Q1,,8.8871,SEK
INVE-A.ST,2023-Q2,,45.0729,SEK
INVE-A.ST,2023-Q3,,38.7184,SEK
INVE-A.ST,2023-Q4,,41.4684,SEK
INVE-A.ST,2024-Q1,,52.6147,SEK
INVE-A.ST,2024-Q2,,59.079,SEK
INVE-A.ST,2024-Q3,,66.8787,SEK
INVE-A.ST,2024-Q4,,36.9698,SEK
INVE-A.ST,2025-Q1,,14.1101,SEK
INVE-A.ST,2025-Q2,,7.6201,SEK
INVE-A.ST,2025-Q3,,22.9613,SEK
INVE-A.ST,2025-Q4,,51.3802,SEK
INVE-A.ST,2026-Q1,,62.19,SEK
INVE-A.ST,2026-Q2,,85.67,SEK
INWI.ST,2018-Q3,,5.52,SEK
INWI.ST,2018-Q4,,7.4541,SEK
INWI.ST,2019-Q1,,7.4892,SEK
INWI.ST,2019-Q2,,7.2384,SEK
INWI.ST,2019-Q3,,7.4871,SEK
INWI.ST,2019-Q4,,7.4654,SEK
INWI.ST,2020-Q1,,6.9903,SEK
INWI.ST,2020-Q2,,7.4028,SEK
INWI.ST,2020-Q3,,7.8992,SEK
INWI.ST,2020-Q4,,8.6376,SEK
INWI.ST,2021-Q1,,10.2506,SEK
INWI.ST,2021-Q2,,11.0786,SEK
INWI.ST,2021-Q3,,11.591,SEK
INWI.ST,2021-Q4,,12.2914,SEK
INWI.ST,2022-Q1,,12.6605,SEK
INWI.ST,2022-Q2,,13.0314,SEK
INWI.ST,2022-Q3,,13.3454,SEK
INWI.ST,2022-Q4,,13.7387,SEK
INWI.ST,2023-Q1,,13.561,SEK
INWI.ST,2023-Q2,,13.2557,SEK
INWI.ST,2023-Q4,,11.7152,SEK
INWI.ST,2024-Q2,,9.3466,SEK
KNOW.ST,2018-Q3,,11.31,SEK
KNOW.ST,2018-Q4,,11.6207,SEK
KNOW.ST,2019-Q1,,12.174,SEK
KNOW.ST,2019-Q2,,11.9164,SEK
KNOW.ST,2019-Q3,,11.8108,SEK
KNOW.ST,2019-Q4,,12.0598,SEK
KNOW.ST,2020-Q1,,12.6104,SEK
LIFCO-B.ST,2018-Q3,,2.7913,SEK
LIFCO-B.ST,2018-Q4,,3.0584,SEK
LIFCO-B.ST,2019-Q1,,3.1967,SEK
LIFCO-B.ST,2019-Q2,,3.2518,SEK
LIFCO-B.ST,2019-Q3,,3.3266,SEK
LIFCO-B.ST,2019-Q4,,3.3134,SEK
LIFCO-B.ST,2020-Q1,,3.4961,SEK
LIFCO-B.ST,2020-Q2,,3.3288,SEK
LIFCO-B.ST,2020-Q3,,3.4763,SEK
LIFCO-B.ST,2020-Q4,,3.648,SEK
LIFCO-B.ST,2021-Q1,,3.8484,SEK
LIFCO-B.ST,2021-Q2,,4.5551,SEK
LIFCO-B.ST,2021-Q3,,4.751,SEK
LIFCO-B.ST,2021-Q4,,5.2618,SEK
LIFCO-B.ST,2022-Q1,,5.5392,SEK
LIFCO-B.ST,2022-Q2,,5.788,SEK
LIFCO-B.ST,2022-Q3,,6.1182,SEK
LIFCO-B.ST,2022-Q4,,6.1293,SEK
LIFCO-B.ST,2023-Q1,,6.4881,SEK
LIFCO-B.ST,2023-Q2,,6.7039,SEK
LIFCO-B.ST,2023-Q4,,7.208,SEK
LIFCO-B.ST,2024-Q1,,7.0033,SEK
LIFCO-B.ST,2024-Q3,,7.1023,SEK
LIME.ST,2019-Q2,,153.4392,SEK
LIME.ST,2019-Q3,,2.3497,SEK
LIME.ST,2019-Q4,,2.939,SEK
LIME.ST,2020-Q1,,3.4464,SEK
LIME.ST,2020-Q2,,3.8929,SEK
LIME.ST,2020-Q3,,4.1138,SEK
LIME.ST,2020-Q4,,4.721,SEK
LIME.ST,2021-Q1,,4.9151,SEK
LIME.ST,2021-Q2,,4.9191,SEK
LIME.ST,2021-Q3,,4.6225,SEK
LIME.ST,2021-Q4,,4.2483,SEK
LIME.ST,2022-Q1,,4.2019,SEK
LIME.ST,2022-Q2,,4.534,SEK
MCAP.ST,2018-Q4,,0.0752,SEK
MCAP.ST,2019-Q1,,0.7018,SEK
MCAP.ST,2019-Q2,,1.7173,SEK
MCAP.ST,2019-Q3,,2.3789,SEK
MCAP.ST,2019-Q4,,4.096,SEK
MCAP.ST,2020-Q1,,3.5902,SEK
MCAP.ST,2020-Q2,,3.8807,SEK
MCAP.ST,2020-Q3,,3.9245,SEK
MCAP.ST,2020-Q4,,4.2195,SEK
MCAP.ST,2021-Q1,,4.4444,SEK
MCAP.ST,2021-Q2,,4.189,SEK
MCAP.ST,2021-Q3,,5.1341,SEK
MCAP.ST,2021-Q4,,6.518,SEK
MCAP.ST,2022-Q1,,6.8959,SEK
MCAP.ST,2022-Q2,,7.2532,SEK
MCAP.ST,2022-Q3,,7.9555,SEK
MCAP.ST,2022-Q4,,7.9352,SEK
