ticker,metric,as_of_date,value,currency_code,current_trailing_eps,is_latest_metric_row
ATCO-A.ST,trailingDilutedEPS,2023-09-30,5.6,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2024-03-31,5.88,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2024-06-30,6.03,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2024-09-30,5.89,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2024-12-31,6.1,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2025-03-31,5.98,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2025-06-30,5.75,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2025-12-31,5.42,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2026-03-31,5.35,SEK,5.46,False
ATCO-A.ST,trailingDilutedEPS,2026-06-30,5.46,SEK,5.46,True
ATCO-B.ST,quarterlyBasicEPS,2024-12-31,1.6,SEK,5.46,False
ATCO-B.ST,quarterlyBasicEPS,2025-03-31,1.35,SEK,5.46,False
ATCO-B.ST,quarterlyBasicEPS,2025-06-30,1.34,SEK,5.46,False
ATCO-B.ST,quarterlyBasicEPS,2025-12-31,1.36,SEK,5.46,False
ATCO-B.ST,quarterlyBasicEPS,2026-03-31,1.28,SEK,5.46,False
ATCO-B.ST,quarterlyBasicEPS,2026-06-30,1.45,SEK,5.46,True
ATCO-B.ST,quarterlyDilutedEPS,2024-12-31,1.6,SEK,5.46,False
