ticker,report_period,report_date,period_end,period_end_to_report_days,original_eps_ttm,aligned_eps_ttm,currency,abs_change_pct,alignment_status,eps_source
EQT.ST,2022-Q2,2022-07-14,,,0.7881,0.7881,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
EQT.ST,2022-Q4,2023-01-18,,,0.1706,0.1706,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
EQT.ST,2023-Q2,2023-07-14,2023-06-30,14.0,-0.0455,-0.055,EUR,20.879120879120883,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2023-Q4,2024-01-18,2023-12-31,18.0,0.1096,0.109,EUR,0.5474452554744555,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2024-Q2,2024-07-18,,,0.3385,0.3385,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
EQT.ST,2024-Q4,2025-01-23,2024-12-31,23.0,0.6567,0.656,EUR,0.10659357393024561,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2025-Q2,2025-07-17,2025-06-30,17.0,0.712,0.711,EUR,0.1404494382022473,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2025-Q4,2026-01-22,2025-12-31,22.0,0.617,0.618,EUR,0.16207455429497583,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2026-Q2,2026-07-17,,,0.8922,0.8922,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
ERIC-B.ST,2024-Q1,2024-04-16,2024-03-31,16.0,-7.63,-7.63,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2024-Q2,2024-07-12,2024-06-30,12.0,-10.76,-10.76,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2024-Q3,2024-10-15,2024-09-30,15.0,-0.41,-0.41,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2024-Q4,2025-01-24,2024-12-31,24.0,0.01,0.01,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2025-Q1,2025-04-15,2025-03-31,15.0,0.48,0.48,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2025-Q2,2025-07-15,2025-06-30,15.0,5.19,5.19,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2025-Q3,2025-10-14,2025-09-30,14.0,7.39,7.379999999999999,SEK,0.13531799729364918,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ERIC-B.ST,2025-Q4,2026-01-23,2025-12-31,23.0,8.51,8.51,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2026-Q1,2026-04-17,2026-03-31,17.0,7.54,7.54,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ERIC-B.ST,2026-Q2,2026-07-14,2026-06-30,14.0,7.39,7.38,SEK,0.1353179972936372,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2024-Q1,2024-04-25,2024-03-31,25.0,13.21,26.02,SEK,96.97199091597273,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2024-Q2,2024-07-18,2024-06-30,18.0,14.47,27.21,SEK,88.04422944022114,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2024-Q3,2024-10-23,2024-09-30,23.0,17.0,29.7,SEK,74.70588235294117,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2024-Q4,2025-01-23,2024-12-31,23.0,17.09,29.83,SEK,74.54651843183147,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2025-Q1,2025-04-24,2025-03-31,24.0,18.01,18.05,SEK,0.22209883398111685,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2025-Q2,2025-07-17,2025-06-30,17.0,17.68,17.72,SEK,0.2262443438913979,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2025-Q3,2025-10-23,2025-09-30,23.0,17.81,17.81,SEK,0.0,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
ESSITY-B.ST,2025-Q4,2026-01-22,2025-12-31,22.0,18.37,18.37,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
