ticker,report_period,report_date,gap_position,previous_comparable_period,previous_comparable_date,next_comparable_period,next_comparable_date,days_from_previous,days_to_next,stale_window_days,reference_eps_ttm,currency,recommended_action
PACT.ST,2022-Q2,2022-07-14,leading,,,2023-Q3,2023-10-27,,470,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2022-Q3,2022-10-25,leading,,,2023-Q3,2023-10-27,,367,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2022-Q4,2023-02-09,leading,,,2023-Q3,2023-10-27,,260,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2023-Q1,2023-05-04,leading,,,2023-Q3,2023-10-27,,176,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2023-Q2,2023-07-14,leading,,,2023-Q3,2023-10-27,,105,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2023-Q4,2024-02-08,internal,2023-Q3,2023-10-27,2024-Q1,2024-05-07,104,89,89,3.0851,SEK,issuer_report_or_other_verified_source_required
SAAB-B.ST,2018-Q3,2018-10-23,leading,,,2023-Q3,2023-10-26,,1829,,1.819,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2018-Q4,2019-02-15,leading,,,2023-Q3,2023-10-26,,1714,,2.7673,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2019-Q1,2019-04-26,leading,,,2023-Q3,2023-10-26,,1644,,2.9897,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2019-Q2,2019-07-19,leading,,,2023-Q3,2023-10-26,,1560,,3.4049,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2019-Q3,2019-10-22,leading,,,2023-Q3,2023-10-26,,1465,,4.111,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2019-Q4,2020-02-07,leading,,,2023-Q3,2023-10-26,,1357,,3.7053,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2020-Q1,2020-04-24,leading,,,2023-Q3,2023-10-26,,1280,,3.588,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2020-Q2,2020-07-17,leading,,,2023-Q3,2023-10-26,,1196,,3.7551,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2020-Q3,2020-10-19,leading,,,2023-Q3,2023-10-26,,1102,,2.5391,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2020-Q4,2021-02-11,leading,,,2023-Q3,2023-10-26,,987,,2.0056,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2021-Q1,2021-04-23,leading,,,2023-Q3,2023-10-26,,916,,2.1167,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2021-Q2,2021-07-21,leading,,,2023-Q3,2023-10-26,,827,,2.0881,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2021-Q3,2021-10-22,leading,,,2023-Q3,2023-10-26,,734,,3.3567,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2021-Q4,2022-02-11,leading,,,2023-Q3,2023-10-26,,622,,3.6166,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2022-Q1,2022-04-22,leading,,,2023-Q3,2023-10-26,,552,,3.545,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2022-Q2,2022-07-21,leading,,,2023-Q3,2023-10-26,,462,,3.3856,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2022-Q3,2022-10-28,leading,,,2023-Q3,2023-10-26,,363,,3.3998,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2022-Q4,2023-02-10,leading,,,2023-Q3,2023-10-26,,258,,4.0998,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2023-Q1,2023-04-26,leading,,,2023-Q3,2023-10-26,,183,,4.7977,SEK,optional_backfill_requires_verified_source
SAAB-B.ST,2023-Q2,2023-07-20,leading,,,2023-Q3,2023-10-26,,98,,5.4497,SEK,optional_backfill_requires_verified_source
SECARE.ST,2021-Q4,2022-04-06,leading,,,2023-Q3,2023-10-25,,567,,0.9787,SEK,optional_backfill_requires_verified_source
SECARE.ST,2022-Q1,2022-05-12,leading,,,2023-Q3,2023-10-25,,531,,0.8037,SEK,optional_backfill_requires_verified_source
SECARE.ST,2022-Q2,2022-07-28,leading,,,2023-Q3,2023-10-25,,454,,0.9872,SEK,optional_backfill_requires_verified_source
SECARE.ST,2022-Q3,2022-11-09,leading,,,2023-Q3,2023-10-25,,350,,0.8898,SEK,optional_backfill_requires_verified_source
SECARE.ST,2022-Q4,2023-02-16,leading,,,2023-Q3,2023-10-25,,251,,0.8229,SEK,optional_backfill_requires_verified_source
SECARE.ST,2023-Q1,2023-04-28,leading,,,2023-Q3,2023-10-25,,180,,0.8525,SEK,optional_backfill_requires_verified_source
SECARE.ST,2023-Q2,2023-07-27,leading,,,2023-Q3,2023-10-25,,90,,0.4642,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2018-Q3,2018-10-26,leading,,,2023-Q3,2023-11-07,,1838,,6.6514,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2018-Q4,2019-02-07,leading,,,2023-Q3,2023-11-07,,1734,,6.8694,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2019-Q1,2019-05-06,leading,,,2023-Q3,2023-11-07,,1646,,7.0256,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2019-Q2,2019-07-31,leading,,,2023-Q3,2023-11-07,,1560,,6.9405,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2019-Q3,2019-11-06,leading,,,2023-Q3,2023-11-07,,1462,,7.3492,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2019-Q4,2020-02-06,leading,,,2023-Q3,2023-11-07,,1370,,7.6478,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2020-Q1,2020-05-07,leading,,,2023-Q3,2023-11-07,,1279,,7.261,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2020-Q2,2020-07-29,leading,,,2023-Q3,2023-11-07,,1196,,6.6942,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2020-Q3,2020-11-03,leading,,,2023-Q3,2023-11-07,,1099,,6.2909,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2020-Q4,2021-02-04,leading,,,2023-Q3,2023-11-07,,1006,,5.5117,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2021-Q1,2021-05-05,leading,,,2023-Q3,2023-11-07,,916,,5.719,SEK,optional_backfill_requires_verified_source
