date,base_currency,quote_currency,rate,yahoo_ticker
2016-08-29,USD,SEK,8.486330032348633,USDSEK=X
2016-08-30,USD,SEK,8.459699630737305,USDSEK=X
2016-08-31,USD,SEK,8.531590461730957,USDSEK=X
2016-09-01,USD,SEK,8.558899879455566,USDSEK=X
2016-09-02,USD,SEK,8.549300193786621,USDSEK=X
2016-09-05,USD,SEK,8.577300071716309,USDSEK=X
2016-09-06,USD,SEK,8.557490348815918,USDSEK=X
2016-09-07,USD,SEK,8.469650268554688,USDSEK=X
2016-09-08,USD,SEK,8.438949584960938,USDSEK=X
2016-09-09,USD,SEK,8.434109687805176,USDSEK=X
2016-09-12,USD,SEK,8.4833402633667,USDSEK=X
2016-09-13,USD,SEK,8.474769592285156,USDSEK=X
2016-09-14,USD,SEK,8.528260231018066,USDSEK=X
2016-09-15,USD,SEK,8.495369911193848,USDSEK=X
2016-09-16,USD,SEK,8.476149559020996,USDSEK=X
2016-09-19,USD,SEK,8.56587028503418,USDSEK=X
2016-09-20,USD,SEK,8.560620307922363,USDSEK=X
2016-09-21,USD,SEK,8.593799591064453,USDSEK=X
2016-09-22,USD,SEK,8.554059982299805,USDSEK=X
2016-09-23,USD,SEK,8.54384994506836,USDSEK=X
2016-09-26,USD,SEK,8.529600143432617,USDSEK=X
2016-09-27,USD,SEK,8.54170036315918,USDSEK=X
2016-09-28,USD,SEK,8.592209815979004,USDSEK=X
2016-09-29,USD,SEK,8.557849884033203,USDSEK=X
2016-09-30,USD,SEK,8.572500228881836,USDSEK=X
2016-10-03,USD,SEK,8.581600189208984,USDSEK=X
2016-10-04,USD,SEK,8.571279525756836,USDSEK=X
2016-10-05,USD,SEK,8.597240447998047,USDSEK=X
2016-10-06,USD,SEK,8.591690063476562,USDSEK=X
2016-10-07,USD,SEK,8.624130249023438,USDSEK=X
2016-10-10,USD,SEK,8.6316499710083,USDSEK=X
2016-10-11,USD,SEK,8.64801025390625,USDSEK=X
2016-10-12,USD,SEK,8.81425952911377,USDSEK=X
2016-10-13,USD,SEK,8.854120254516602,USDSEK=X
2016-10-14,USD,SEK,8.795999526977539,USDSEK=X
2016-10-17,USD,SEK,8.843870162963867,USDSEK=X
2016-10-18,USD,SEK,8.79800033569336,USDSEK=X
2016-10-19,USD,SEK,8.828880310058594,USDSEK=X
2016-10-20,USD,SEK,8.833700180053711,USDSEK=X
2016-10-21,USD,SEK,8.8677396774292,USDSEK=X
2016-10-24,USD,SEK,8.912199974060059,USDSEK=X
2016-10-25,USD,SEK,8.912969589233398,USDSEK=X
2016-10-26,USD,SEK,8.927160263061523,USDSEK=X
2016-10-27,USD,SEK,8.904840469360352,USDSEK=X
2016-10-28,USD,SEK,9.076149940490723,USDSEK=X
2016-10-31,USD,SEK,9.006699562072754,USDSEK=X
2016-11-01,USD,SEK,9.037139892578125,USDSEK=X
2016-11-02,USD,SEK,8.961700439453125,USDSEK=X
2016-11-03,USD,SEK,8.923600196838379,USDSEK=X
2016-11-04,USD,SEK,8.967900276184082,USDSEK=X
2016-11-07,USD,SEK,8.961859703063965,USDSEK=X
2016-11-08,USD,SEK,9.014519691467285,USDSEK=X
2016-11-09,USD,SEK,8.973600387573242,USDSEK=X
2016-11-10,USD,SEK,9.053339958190918,USDSEK=X
2016-11-11,USD,SEK,9.037199974060059,USDSEK=X
2016-11-14,USD,SEK,9.10750961303711,USDSEK=X
2016-11-15,USD,SEK,9.146610260009766,USDSEK=X
2016-11-16,USD,SEK,9.184009552001953,USDSEK=X
2016-11-17,USD,SEK,9.17805004119873,USDSEK=X
2016-11-18,USD,SEK,9.239370346069336,USDSEK=X
2016-11-21,USD,SEK,9.26123046875,USDSEK=X
2016-11-22,USD,SEK,9.209500312805176,USDSEK=X
2016-11-23,USD,SEK,9.21150016784668,USDSEK=X
2016-11-24,USD,SEK,9.282899856567383,USDSEK=X
2016-11-25,USD,SEK,9.243499755859375,USDSEK=X
2016-11-28,USD,SEK,9.229660034179688,USDSEK=X
2016-11-29,USD,SEK,9.194600105285645,USDSEK=X
2016-11-30,USD,SEK,9.175140380859375,USDSEK=X
2016-12-01,USD,SEK,9.227700233459473,USDSEK=X
2016-12-02,USD,SEK,9.21619987487793,USDSEK=X
2016-12-05,USD,SEK,9.236749649047852,USDSEK=X
2016-12-06,USD,SEK,9.125399589538574,USDSEK=X
2016-12-07,USD,SEK,9.128829956054688,USDSEK=X
2016-12-08,USD,SEK,9.067449569702148,USDSEK=X
2016-12-09,USD,SEK,9.122400283813477,USDSEK=X
2016-12-12,USD,SEK,9.197979927062988,USDSEK=X
2016-12-13,USD,SEK,9.160929679870605,USDSEK=X
2016-12-14,USD,SEK,9.165900230407715,USDSEK=X
2016-12-15,USD,SEK,9.278340339660645,USDSEK=X
2016-12-16,USD,SEK,9.40250015258789,USDSEK=X
2016-12-19,USD,SEK,9.353910446166992,USDSEK=X
2016-12-20,USD,SEK,9.372650146484375,USDSEK=X
2016-12-21,USD,SEK,9.348699569702148,USDSEK=X
2016-12-22,USD,SEK,9.223099708557129,USDSEK=X
2016-12-23,USD,SEK,9.218790054321289,USDSEK=X
2016-12-26,USD,SEK,9.211099624633789,USDSEK=X
