ticker,report_period,report_date,eps_ttm,currency
ATCO-B.ST,2025-Q4,2026-01-27,5.43,SEK
ATCO-B.ST,2026-Q1,2026-04-28,5.36,SEK
ATCO-B.ST,2026-Q2,2026-07-16,5.47,SEK
ATRLJ-B.ST,2024-Q1,,1.7781,SEK
ATRLJ-B.ST,2024-Q2,,1.8272,SEK
ATRLJ-B.ST,2024-Q3,,1.8259,SEK
ATRLJ-B.ST,2024-Q4,,1.7944,SEK
ATRLJ-B.ST,2025-Q1,,1.645,SEK
ATRLJ-B.ST,2025-Q2,,1.5806,SEK
ATRLJ-B.ST,2025-Q3,,1.5651,SEK
ATRLJ-B.ST,2025-Q4,,1.558,SEK
ATRLJ-B.ST,2026-Q1,,1.5436,SEK
ATRLJ-B.ST,2026-Q2,2026-07-03,1.5472,SEK
ATT.ST,2023-Q4,,2.33,SEK
ATT.ST,2024-Q1,,2.56,SEK
ATT.ST,2024-Q2,2024-07-19,2.48,SEK
ATT.ST,2024-Q3,2024-10-24,2.51,SEK
ATT.ST,2024-Q4,2025-02-06,2.86,SEK
ATT.ST,2025-Q1,2025-05-07,3.35,SEK
ATT.ST,2025-Q2,2025-07-18,3.66,SEK
ATT.ST,2025-Q3,2025-10-24,4.4,SEK
ATT.ST,2025-Q4,2026-02-05,5.49,SEK
ATT.ST,2026-Q1,2026-05-06,5.91,SEK
AXFO.ST,2024-Q1,2024-04-25,11.33,SEK
AXFO.ST,2024-Q2,2024-07-12,11.08,SEK
AXFO.ST,2024-Q3,2024-10-24,10.96,SEK
AXFO.ST,2024-Q4,2025-01-30,10.16,SEK
AXFO.ST,2025-Q1,2025-04-24,9.65,SEK
AXFO.ST,2025-Q2,2025-07-11,9.82,SEK
AXFO.ST,2025-Q3,2025-10-23,9.8,SEK
AXFO.ST,2025-Q4,2026-01-29,10.83,SEK
AXFO.ST,2026-Q1,2026-04-23,11.17,SEK
AXFO.ST,2026-Q2,2026-07-15,11.26,SEK
AZA.ST,2024-Q1,2024-04-19,12.9486,SEK
AZA.ST,2024-Q2,2024-07-12,13.1648,SEK
AZA.ST,2024-Q3,2024-10-18,13.5337,SEK
AZA.ST,2024-Q4,2025-01-21,14.33,SEK
AZA.ST,2025-Q1,2025-04-15,15.3017,SEK
AZA.ST,2025-Q2,2025-07-11,15.8996,SEK
AZA.ST,2025-Q3,2025-10-17,16.6564,SEK
AZA.ST,2025-Q4,2026-01-21,16.57,SEK
AZA.ST,2026-Q1,2026-04-21,16.7586,SEK
AZA.ST,2026-Q2,2026-07-14,17.9308,SEK
AZN.ST,2024-Q1,,4.0872,USD
AZN.ST,2024-Q2,2024-07-25,4.1575,USD
AZN.ST,2024-Q3,2024-11-12,4.1903,USD
AZN.ST,2024-Q4,2025-02-06,4.5387,USD
AZN.ST,2025-Q1,2025-04-29,5.01,USD
AZN.ST,2025-Q2,2025-07-29,5.35,USD
AZN.ST,2025-Q3,2025-11-06,6.06,USD
AZN.ST,2025-Q4,2026-02-10,6.6,USD
AZN.ST,2026-Q1,2026-04-29,6.7,USD
AZN.ST,2026-Q2,2026-07-27,6.74,USD
BAHN-B.ST,2023-Q4,,1.9954,SEK
BAHN-B.ST,2024-Q1,,2.04,SEK
BAHN-B.ST,2024-Q2,,2.11,SEK
BAHN-B.ST,2024-Q3,,2.12,SEK
BAHN-B.ST,2024-Q4,,2.05,SEK
BAHN-B.ST,2025-Q1,,2.06,SEK
BAHN-B.ST,2025-Q2,2025-05-06,2.09,SEK
BAHN-B.ST,2025-Q3,2025-08-19,2.06,SEK
BAHN-B.ST,2025-Q4,2025-11-11,1.68,SEK
BAHN-B.ST,2026-Q1,2026-02-17,1.72,SEK
BALD-B.ST,2024-Q1,,4.1319,SEK
BALD-B.ST,2024-Q2,,4.1726,SEK
BALD-B.ST,2024-Q3,,4.2613,SEK
BALD-B.ST,2024-Q4,,4.309,SEK
BALD-B.ST,2025-Q1,,4.4077,SEK
BALD-B.ST,2025-Q2,,4.4898,SEK
BALD-B.ST,2025-Q3,,4.5345,SEK
BALD-B.ST,2025-Q4,,4.5738,SEK
BALD-B.ST,2026-Q1,2026-05-08,4.4566,SEK
BALD-B.ST,2026-Q2,2026-07-14,4.3532,SEK
BEIA-B.ST,2024-Q1,2024-04-26,8.63,SEK
BEIA-B.ST,2024-Q2,2024-07-19,8.93,SEK
BEIA-B.ST,2024-Q3,2024-10-25,11.73,SEK
BEIA-B.ST,2024-Q4,2025-02-06,11.85,SEK
BEIA-B.ST,2025-Q1,2025-04-25,12.01,SEK
BEIA-B.ST,2025-Q2,2025-07-18,11.02,SEK
BEIA-B.ST,2025-Q3,2025-10-24,8.91,SEK
BEIA-B.ST,2025-Q4,2026-02-06,9.43,SEK
BEIA-B.ST,2026-Q1,2026-04-24,10.24,SEK
BEIA-B.ST,2026-Q2,2026-07-17,12.46,SEK
BERG-B.ST,2024-Q4,2024-05-15,7.1517,SEK
BERG-B.ST,2025-Q1,2024-07-16,7.41,SEK
BERG-B.ST,2025-Q2,2024-10-23,7.56,SEK
BERG-B.ST,2025-Q3,2025-02-05,7.6,SEK
BERG-B.ST,2025-Q4,2025-05-09,8.05,SEK
BERG-B.ST,2026-Q1,2025-07-16,8.26,SEK
BERG-B.ST,2026-Q2,2025-10-22,7.31,SEK
