ticker,report_period,report_date
EMBRAC-B.ST,2025-Q2,2024-11-14
EMBRAC-B.ST,2025-Q3,2025-02-13
EMBRAC-B.ST,2025-Q4,2025-05-22
EMBRAC-B.ST,2026-Q1,2025-08-14
EMBRAC-B.ST,2026-Q2,2025-11-13
EMBRAC-B.ST,2026-Q3,2026-02-12
EMBRAC-B.ST,2026-Q4,2026-05-20
EMBRAC-B.ST,2027-Q1,2026-08-13
EPI-A.ST,2024-Q1,2024-04-23
EPI-A.ST,2024-Q2,2024-07-19
EPI-A.ST,2024-Q3,2024-10-25
EPI-A.ST,2024-Q4,2025-01-30
EPI-A.ST,2025-Q1,2025-04-29
EPI-A.ST,2025-Q2,2025-07-18
EPI-A.ST,2025-Q3,2025-10-29
EPI-A.ST,2025-Q4,2026-01-26
EPI-A.ST,2026-Q1,2026-04-29
EPI-A.ST,2026-Q2,2026-07-17
EPI-B.ST,2024-Q1,2024-04-23
EPI-B.ST,2024-Q2,2024-07-19
EPI-B.ST,2024-Q3,2024-10-25
EPI-B.ST,2024-Q4,2025-01-30
EPI-B.ST,2025-Q1,2025-04-29
EPI-B.ST,2025-Q2,2025-07-18
EPI-B.ST,2025-Q3,2025-10-29
EPI-B.ST,2025-Q4,2026-01-26
EPI-B.ST,2026-Q1,2026-04-29
EPI-B.ST,2026-Q2,2026-07-17
EQL.ST,2024-Q4,2024-05-14
EQL.ST,2025-Q1,2024-05-14
EQL.ST,2025-Q2,2024-08-08
EQL.ST,2025-Q3,2024-11-06
EQL.ST,2025-Q4,2025-02-05
EQL.ST,2026-Q1,2025-05-08
EQL.ST,2026-Q2,2025-08-08
EQL.ST,2026-Q3,2025-11-05
EQL.ST,2026-Q4,2026-02-03
EQL.ST,2027-Q1,2026-05-08
EQT.ST,2021-Q4,2022-01-19
EQT.ST,2022-Q2,2022-07-14
EQT.ST,2022-Q4,2023-01-18
EQT.ST,2023-Q2,2023-07-14
EQT.ST,2023-Q4,2024-01-18
EQT.ST,2024-Q2,2024-07-18
EQT.ST,2024-Q4,2025-01-23
EQT.ST,2025-Q2,2025-07-17
EQT.ST,2025-Q4,2026-01-22
EQT.ST,2026-Q2,2026-07-17
ERIC-B.ST,2024-Q1,2024-04-16
ERIC-B.ST,2024-Q2,2024-07-12
ERIC-B.ST,2024-Q3,2024-10-15
ERIC-B.ST,2024-Q4,2025-01-24
ERIC-B.ST,2025-Q1,2025-04-15
ERIC-B.ST,2025-Q2,2025-07-15
ERIC-B.ST,2025-Q3,2025-10-14
ERIC-B.ST,2025-Q4,2026-01-23
ERIC-B.ST,2026-Q1,2026-04-17
ERIC-B.ST,2026-Q2,2026-07-14
ESSITY-B.ST,2024-Q1,2024-04-25
ESSITY-B.ST,2024-Q2,2024-07-18
ESSITY-B.ST,2024-Q3,2024-10-23
ESSITY-B.ST,2024-Q4,2025-01-23
ESSITY-B.ST,2025-Q1,2025-04-24
ESSITY-B.ST,2025-Q2,2025-07-17
ESSITY-B.ST,2025-Q3,2025-10-23
ESSITY-B.ST,2025-Q4,2026-01-22
ESSITY-B.ST,2026-Q1,2026-04-23
ESSITY-B.ST,2026-Q2,2026-07-16
EVO.ST,2024-Q1,2024-04-24
EVO.ST,2024-Q2,2024-07-19
EVO.ST,2024-Q3,2024-10-24
EVO.ST,2024-Q4,2025-01-30
EVO.ST,2025-Q1,2025-04-30
EVO.ST,2025-Q2,2025-07-17
EVO.ST,2025-Q3,2025-10-23
EVO.ST,2025-Q4,2026-02-05
EVO.ST,2026-Q1,2026-04-22
EVO.ST,2026-Q2,2026-07-17
FABG.ST,2024-Q1,2024-04-25
FABG.ST,2024-Q2,2024-07-05
FABG.ST,2024-Q3,2024-10-22
FABG.ST,2024-Q4,2025-02-06
FABG.ST,2025-Q1,2025-04-14
FABG.ST,2025-Q2,2025-07-07
FABG.ST,2025-Q3,2025-10-21
FABG.ST,2025-Q4,2026-02-05
