ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
EMBRAC-B.ST,2025-06-30,2025-08-14,45,37.66,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2025-09-30,2025-11-13,44,38.05,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2025-12-31,2026-02-12,43,41.33,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2026-03-31,2026-05-20,50,-27.67,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2023-09-30,2023-10-27,27,7.92,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2024-03-31,2024-04-23,23,7.57,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2024-06-30,2024-07-19,19,7.07,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2024-09-30,2024-10-25,25,7.14,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2024-12-31,2025-01-30,30,7.23,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2025-03-31,2025-04-29,29,7.39,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2025-06-30,2025-07-18,18,7.44,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2025-09-30,2025-10-29,29,7.14,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
EPI-A.ST,2025-12-31,2026-01-26,26,7.12,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2026-03-31,2026-04-29,29,7.04,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-A.ST,2026-06-30,2026-07-17,17,7.31,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2023-09-30,,,7.92,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
EPI-B.ST,2023-12-31,,,7.81,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,missing
EPI-B.ST,2024-03-31,2024-04-23,23,7.57,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2024-06-30,2024-07-19,19,7.07,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2024-09-30,2024-10-25,25,7.14,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2024-12-31,2025-01-30,30,7.23,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2025-03-31,2025-04-29,29,7.39,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2025-06-30,2025-07-18,18,7.44,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2025-09-30,2025-10-29,29,7.14,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
EPI-B.ST,2025-12-31,2026-01-26,26,7.12,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2026-03-31,2026-04-29,29,7.04,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EPI-B.ST,2026-06-30,2026-07-17,17,7.31,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2024-03-31,2024-05-14,44,0.76,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2024-06-30,2024-08-08,39,0.89,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2024-09-30,2024-11-06,37,1.06,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2024-12-31,2025-02-05,36,1.16,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2025-03-31,2025-05-08,38,1.44,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2025-06-30,2025-08-08,39,1.41,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2025-09-30,2025-11-05,36,0.99,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
EQL.ST,2025-12-31,2026-02-03,34,0.98,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2026-03-31,2026-05-08,38,0.42,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQL.ST,2026-06-30,2026-08-15,46,-0.49,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQT.ST,2023-06-30,2023-07-14,14,-0.055,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQT.ST,2023-12-31,2024-01-18,18,0.109,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQT.ST,2024-12-31,2025-01-23,23,0.656,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQT.ST,2025-06-30,2025-07-17,17,0.711,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EQT.ST,2025-12-31,2026-01-22,22,0.618,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2023-09-30,2023-10-17,17,-7.14,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2023-12-31,2024-01-23,23,-7.94,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2024-03-31,2024-04-16,16,-7.63,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2024-06-30,2024-07-12,12,-10.76,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2024-09-30,2024-10-15,15,-0.41,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2024-12-31,2025-01-24,24,0.01,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2025-03-31,2025-04-15,15,0.48,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2025-06-30,2025-07-15,15,5.19,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
